,Date,Class
1025,2016-02-19,0
1026,2016-02-19,0
1027,2016-02-18,0
1028,2016-02-18,0
1029,2016-02-16,0
1030,2016-02-12,-1
1031,2016-02-11,0
1032,2016-02-11,0
1033,2016-02-10,0
1034,2016-02-10,-1
1035,2016-02-10,1
1036,2016-02-10,1
1037,2016-02-10,0
1038,2016-02-09,1
1039,2016-02-08,0
1040,2016-02-08,-1
1041,2016-02-08,0
1042,2016-02-08,0
1043,2016-02-08,1
1044,2016-02-05,-1
1045,2016-02-05,0
1046,2016-02-04,-1
1047,2016-02-04,0
1048,2016-02-04,1
1049,2016-02-03,0
1050,2016-02-03,-1
1051,2016-02-03,0
1052,2016-02-03,0
1053,2016-02-03,1
1054,2016-02-03,1
1055,2016-02-02,-1
1056,2016-02-02,1
1057,2016-02-02,0
1058,2016-02-01,1
1059,2016-02-01,1
1060,2016-02-01,0
1061,2016-02-01,1
1062,2016-02-01,1
1063,2016-02-01,0
1064,2016-02-01,1
1065,2016-02-01,0
1066,2016-02-01,1
1067,2016-02-01,0
1068,2016-02-01,0
1069,2016-01-29,0
1070,2016-01-29,0
1071,2016-01-29,0
1072,2016-01-29,0
1073,2016-01-28,0
1074,2016-01-28,0
1075,2016-01-28,0
1076,2016-01-28,0
1077,2016-01-28,0
1078,2016-01-28,0
1079,2016-01-28,0
1080,2016-01-28,0
1081,2016-01-28,0
1082,2016-01-28,0
1083,2016-01-28,0
1084,2016-01-28,0
1085,2016-01-28,0
1086,2016-01-27,0
1087,2016-01-27,0
1088,2016-01-26,1
1089,2016-01-26,0
1090,2016-01-26,0
1091,2016-01-25,0
1092,2016-01-25,0
1093,2016-01-23,0
1094,2016-01-20,0
1095,2016-01-20,0
1096,2016-01-19,0
1097,2016-01-19,0
1098,2016-01-19,0
1099,2016-01-19,0
1100,2016-01-14,0
1101,2016-01-13,1
1102,2016-01-13,1
1103,2016-01-13,-1
1104,2016-01-13,1
1105,2016-01-13,1
1106,2016-01-12,0
1107,2016-01-12,0
1108,2016-01-11,0
1109,2016-01-09,0
1110,2016-01-07,0
1111,2016-01-07,0
1112,2016-01-06,0
1113,2016-01-06,0
1114,2016-01-06,0
1115,2016-01-05,0
1116,2016-01-05,0
1117,2016-01-05,0
1118,2016-01-02,0
1119,2015-12-31,0
1120,2015-12-28,0
1121,2015-12-26,0
1122,2015-12-25,0
1123,2015-12-25,0
1124,2015-12-25,0
1125,2015-12-23,0
1126,2015-12-23,1
1127,2015-12-22,0
1128,2015-12-22,1
1129,2015-12-22,-1
1130,2015-12-21,1
1131,2015-12-21,0
1132,2015-12-19,0
1133,2015-12-18,1
1134,2015-12-18,1
1135,2015-12-18,1
1136,2015-12-17,1
1137,2015-12-11,0
1138,2015-12-11,0
1139,2015-12-11,0
1140,2015-12-11,0
1141,2015-12-11,0
1142,2015-12-11,0
1143,2015-12-09,0
1144,2015-12-09,0
1145,2015-12-09,0
1146,2015-12-09,0
1147,2015-12-08,0
1148,2015-12-04,0
1149,2015-12-03,0
1150,2015-12-03,0
1151,2015-12-03,0
1152,2015-12-03,1
1153,2015-12-03,1
1154,2015-12-03,1
1155,2015-12-03,0
1156,2015-12-03,1
1157,2015-12-03,1
1158,2015-12-03,1
1159,2015-12-03,0
1160,2015-12-03,1
1161,2015-12-03,0
1162,2015-12-03,0
1163,2015-12-02,1
1164,2015-12-02,0
1165,2015-12-02,0
1166,2015-12-01,0
1167,2015-11-30,0
1168,2015-11-30,0
1169,2015-11-30,0
1170,2015-11-30,0
1171,2015-11-30,1
1172,2015-11-25,0
1173,2015-11-24,0
1174,2015-11-20,0
1175,2015-11-19,0
1176,2015-11-19,0
1177,2015-11-19,0
1178,2015-11-19,0
1179,2015-11-18,0
1180,2015-11-18,0
1181,2015-11-18,0
1182,2015-11-18,0
1183,2015-11-17,0
1184,2015-11-16,0
1185,2015-11-16,0
1186,2015-11-16,0
1187,2015-11-16,0
1188,2015-11-16,1
1189,2015-11-16,1
1190,2015-11-14,0
1191,2015-11-13,0
1192,2015-11-12,-1
1193,2015-11-12,-1
1194,2015-11-12,0
1195,2015-11-11,0
1196,2015-11-11,0
1197,2015-11-11,0
1198,2015-11-10,1
1199,2015-11-10,0
1200,2015-11-10,0
1201,2015-11-09,0
1202,2015-11-09,0
1203,2015-11-08,0
1204,2015-11-07,0
1205,2015-11-06,0
1206,2015-11-05,1
1207,2015-11-04,0
1208,2015-11-04,0
1209,2015-11-04,1
1210,2015-11-03,0
1211,2015-10-30,0
1212,2015-10-30,0
1213,2015-10-30,-1
1214,2015-10-30,0
1215,2015-10-29,0
1216,2015-10-29,-1
1217,2015-10-29,-1
1218,2015-10-29,0
1219,2015-10-29,0
1220,2015-10-29,0
1221,2015-10-29,0
1222,2015-10-29,0
1223,2015-10-29,0
1224,2015-10-28,-1
1225,2015-10-28,-1
1226,2015-10-28,0
1227,2015-10-27,0
1228,2015-10-27,-1
1229,2015-10-27,-1
1230,2015-10-27,0
1231,2015-10-27,0
1232,2015-10-26,0
1233,2015-10-24,0
1234,2015-10-24,0
1235,2015-10-23,0
1236,2015-10-23,1
1237,2015-10-23,-1
